date,taiex,tx_close,ect_raw,ect_zscore,signal
2026/03/02,35095.09,35232.0,396.1095,-0.3171,0
2026/03/03,34323.65,34325.0,517.9476,0.3796,0
2026/03/04,32828.88,32834.0,491.6205,0.2290,0
2026/03/05,33672.94,33639.0,542.8592,0.5220,0
2026/03/06,33599.54,33704.0,405.4426,-0.2638,0
2026/03/09,32110.42,31786.0,805.3055,2.0228,0
2026/03/10,32771.87,32696.0,570.5227,0.6802,-1
2026/03/11,34114.19,33985.0,643.3438,1.0966,-1
2026/03/12,33581.86,33530.0,559.1302,0.6151,-1
2026/03/13,33400.32,33315.0,589.3375,0.7878,-1
2026/03/16,33342.51,33250.0,595.5441,0.8233,-1
2026/03/17,33836.57,33795.0,552.8493,0.5792,0
2026/03/18,34348.58,34263.0,603.9396,0.8713,0
2026/03/19,33689.68,33553.0,644.2981,1.1021,0
2026/03/20,33543.88,33559.0,492.5889,0.2346,-1
2026/03/23,32722.5,32532.0,682.6716,1.3215,-1
2026/03/24,32612.24,32771.0,337.0274,-0.6550,-1
2026/03/25,33439.11,33638.0,310.0141,-0.8094,-1
2026/03/26,33337.62,33440.0,403.5286,-0.2747,0
2026/03/27,33112.59,33120.0,493.6573,0.2407,0
2026/03/30,32518.16,32468.0,541.3633,0.5135,0
2026/03/31,31722.99,31979.0,227.7953,-1.2796,0
2026/04/01,33174.82,33402.0,278.1537,-0.9916,1
2026/04/02,32572.43,32487.0,576.9208,0.7168,1
2026/04/07,33229.82,33159.0,572.4774,0.6914,1
2026/04/08,34761.38,34996.0,294.8291,-0.8963,1
2026/04/09,34861.16,34932.0,457.6408,0.0347,0
2026/04/10,35417.83,35567.0,388.9176,-0.3582,0
2026/04/13,35457.29,35457.0,536.7135,0.4869,0
2026/04/14,36296.12,36381.0,465.5225,0.0798,0
2026/04/15,36722.14,36643.0,633.5063,1.0404,0
2026/04/16,37132.02,37645.0,56.5454,-2.2588,-1
2026/04/17,36804.34,37083.0,282.3630,-0.9676,-1
2026/04/20,36958.8,37254.0,268.4100,-1.0473,-1
2026/04/21,37605.11,38048.0,132.7323,-1.8232,-1
2026/04/22,37878.47,38206.0,250.4827,-1.1499,-1
2026/04/23,37714.15,37875.0,412.1550,-0.2254,0
2026/04/24,38932.4,39224.0,301.8138,-0.8563,0
2026/04/27,39616.63,39888.0,332.0894,-0.6832,0
2026/04/28,39521.73,39749.0,374.0865,-0.4431,0
2026/04/29,39303.5,39490.0,410.9381,-0.2323,0
2026/04/30,38926.63,39360.0,162.1013,-1.6552,0
2026/05/04,40705.14,41031.0,294.8916,-0.8959,1
2026/05/05,40769.29,41035.0,355.1022,-0.5516,1
2026/05/06,41138.85,41503.0,263.7425,-1.0740,1
2026/05/07,41933.78,42340.0,234.3353,-1.2422,1
2026/05/08,41603.94,41937.0,301.3984,-0.8587,1
2026/05/11,41790.06,41945.0,479.6394,0.1605,0
2026/05/12,41898.32,41695.0,834.1172,2.1875,0
2026/05/13,41374.5,41469.0,532.8781,0.4650,-1
2026/05/14,41751.75,41602.0,779.1402,1.8731,-1
2026/05/15,41172.36,41012.0,780.8242,1.8828,-1
2026/05/18,40891.82,40807.0,702.1828,1.4331,-1
2026/05/19,40175.56,40248.0,536.4658,0.4855,0
2026/05/20,40020.82,40078.0,549.1538,0.5580,0
2026/05/21,41368.21,41473.0,522.6486,0.4065,0
2026/05/22,42267.97,42442.0,468.0684,0.0944,0
2026/05/25,43644.4,43877.0,431.2083,-0.1164,0
2026/05/26,43525.37,43893.0,296.4204,-0.8872,0
2026/05/27,44256.8,44798.0,136.5420,-1.8014,0
